"OBJECTID","Name","Yr_Final","Area_sqm","Measure.var","value","forest.yr","Area_ha","value.ha"
266,"San Andres De Sotavento",2003,89915899.38361,"Forest2000",482145.55112,2000,8991.589938361,48.214555112
267,"Canime",2007,200972.60741428,"Forest2000",0,2000,20.097260741428,0
268,"Cxayu'ce Fiw",2007,2473944.49126,"Forest2000",3774.13347256,2000,247.394449126,0.377413347256
269,"Rumiyaco",2002,2356946.353612,"Forest2000",535926.953104,2000,235.6946353612,53.5926953104
270,"Guaipa Uno",2001,7116128.66250714,"Forest2000",0,2000,711.612866250714,0
272,"Balsillas",2006,1389824.65127,"Forest2000",0,2000,138.982465127,0
273,"Paez De Toez",2003,5084701.32091,"Forest2000",0,2000,508.470132091,0
274,"Beltran",2006,1768181.531896,"Forest2000",268907.00992,2000,176.8181531896,26.890700992
275,"Pablo Muera",2002,20736976.3649451,"Forest2000",18568736.685,2000,2073.69763649451,1856.8736685
276,"Nueva Esperanza Del Tomo",2002,92492689.0120279,"Forest2000",9594790.82062,2000,9249.26890120279,959.479082062
277,"Zaragoza Tamarindo",2000,789737.429133,"Forest2000",0,2000,78.9737429133,0
278,"Quebraditas",2001,503846.818587,"Forest2000",0,2000,50.3846818587,0
279,"Mercadillo",2001,707650.026105,"Forest2000",0,2000,70.7650026105,0
280,"Villa Nueva Juna",2002,3907171.6774647,"Forest2000",3801495.94024,2000,390.71716774647,380.149594024
281,"Morrito",2006,6773626.0498726,"Forest2000",6728336.44821,2000,677.36260498726,672.833644821
282,"La Delfina",2007,7855858.823134,"Forest2000",6687764.51338,2000,785.5858823134,668.776451338
284,"Menche San Cayetano",2013,732181.8936765,"Forest2000",11322.4004177,2000,73.21818936765,1.13224004177
285,"Chenche Buenavista",2013,2034257.9417107,"Forest2000",208520.874359,2000,203.42579417107,20.8520874359
286,"Chenche Balsillas",2003,482145.55112,"Forest2000",0,2000,48.214555112,0
287,"Chenche Balsillas",2003,31136.60114862,"Forest2000",0,2000,3.113660114862,0
293,"Muisca De Fonquetá Y Cerca De Piedra",2013,1356800.98338814,"Forest2000",943.53336814,2000,135.680098338814,0.094353336814
294,"Maguare",2014,427420.615767,"Forest2000",7548.26694512,2000,42.7420615767,0.754826694512
297,"Eyakera Dogibi",2012,31840477.0412493,"Forest2000",27160551.5353,2000,3184.04770412493,2716.05515353
299,"Vegas De Segovia",2013,9439107.81487512,"Forest2000",7508638.54366,2000,943.910781487512,750.863854366
300,"Velu Centro",2013,802946.896287,"Forest2000",0,2000,80.2946896287,0
302,"Perratpu",2006,613296.689291,"Forest2000",0,2000,61.3296689291,0
303,"El Soldado Parate Bien",2000,3109885.98139398,"Forest2000",153795.939007,2000,310.988598139398,15.3795939007
305,"Resguardo Indigena Natarroco",2015,4689360.8396547,"Forest2000",50950.8018796,2000,468.93608396547,5.09508018796
306,"Resguardo Indigena Mesas De San Juan",2015,166061.8727924,"Forest2000",0,2000,16.60618727924,0
307,"Resguardo Indigena Campoalegre",2015,310422.478118,"Forest2000",0,2000,31.0422478118,0
308,"Resguardo Indigena Anaba",2015,74539.1360831,"Forest2000",0,2000,7.45391360831,0
309,"Resguardo Indigena Aco Viejo Patio Bonito",2015,2937219.375018,"Forest2000",267963.476552,2000,293.7219375018,26.7963476552
310,"Resguardo Indigena Gualeras",2015,2084265.21022,"Forest2000",0,2000,208.426521022,0
311,"LOS PIJAOS",2002,1377558.71748,"Forest2000",11322.4004177,2000,137.755871748,1.13224004177
312,"SAN ANDRES - LAS VEGAS - VILLA UNION",2005,15563582.9074702,"Forest2000",8751271.9895,2000,1556.35829074702,875.12719895
313,"EL PORVENIR KANANGUCHAL",2001,5400784.99923,"Forest2000",1577587.79153,2000,540.078499923,157.758779153
314,"CAICEDONIA",2005,11254466.01518,"Forest2000",9210772.73978,2000,1125.446601518,921.077273978
316,"BANDERAS DEL RECAIBO",2013,4188344.62118,"Forest2000",3742996.87141,2000,418.834462118,374.299687141
317,"LA PLAYA",2001,277398.8102332,"Forest2000",269850.543288,2000,27.73988102332,26.9850543288
318,"DAMASCO VIDES",2003,6921760.78868,"Forest2000",4241182.48979,2000,692.176078868,424.118248979
319,"ALTO LORENZO",2003,12935842.477207,"Forest2000",8528598.11462,2000,1293.5842477207,852.859811462
320,"EL ITILLA",2002,103751872.69387,"Forest2000",102781920.392,2000,10375.187269387,10278.1920392
321,"NASA CHAMB",2011,335897.879058,"Forest2000",77369.7361875,2000,33.5897879058,7.73697361875
322,"BOCANA DE LUZON",2010,11780014.10122,"Forest2000",6530194.4409,2000,1178.001410122,653.01944409
323,"WASIPANGA",2001,4140224.41939884,"Forest2000",2382421.75455,2000,414.022441939884,238.242175455
324,"LA AGUADITA",2004,13929383.1138451,"Forest2000",11202571.6799,2000,1392.93831138451,1120.25716799
325,"PAEZ DEL LIBANO",2003,2687183.03245884,"Forest2000",2356002.82025,2000,268.718303245884,235.600282025
326,"SANTA MARTA",2004,3141966.1159107,"Forest2000",2452243.2238,2000,314.19661159107,245.22432238
327,"WASIPUNGO",2005,5708376.87725,"Forest2000",4289302.69156,2000,570.837687725,428.930269156
329,"PUERTO NARE",2003,187283825.30857,"Forest2000",184364533.068,2000,18728.382530857,18436.4533068
330,"NUEVO HORIZONTE",2003,2351285.15341,"Forest2000",8491.80031326,2000,235.128515341,0.849180031326
331,"SAN JOAQUIN",2003,1053926.772213,"Forest2000",931267.434354,2000,105.3926772213,93.1267434354
332,"TIERRA ALTA",2000,2330527.4193,"Forest2000",2038975.60855,2000,233.05274193,203.897560855
333,"SAN MIGUEL DE LA CASTELLANA",2002,4795980.11025,"Forest2000",2614530.96312,2000,479.598011025,261.453096312
334,"WITAC'KIWE",2010,774640.895243,"Forest2000",501016.218482,2000,77.4640895243,50.1016218482
335,"SANTA RITA",2002,10595879.724213,"Forest2000",10137322.5073,2000,1059.5879724213,1013.73225073
336,"INGA DE MOCOA",2003,1059587.9724216,"Forest2000",118885.204386,2000,105.95879724216,11.8885204386
337,"LOS GUADUALES",2003,2461678.5574784,"Forest2000",242488.075612,2000,246.16785574784,24.2488075612
338,"EL ESPINGO",2006,18551753.08439,"Forest2000",15875892.4523,2000,1855.175308439,1587.58924523
339,"ISHU AWA",2012,60336128.2924233,"Forest2000",58989706.1761,2000,6033.61282924233,5898.97061761
